text,label,clean_text,text_length
"Here are Thursday's biggest analyst calls: Apple, Amazon, Tesla, Palantir, DocuSign, Exxon &amp; more  https://t.co/QPN8Gwl7Uh",0,here are thursdays biggest analyst calls apple amazon tesla palantir docusign exxon amp more,92
"Buy Las Vegas Sands as travel to Singapore builds, Wells Fargo says  https://t.co/fLS2w57iCz",0,buy las vegas sands as travel to singapore builds wells fargo says,66
"Piper Sandler downgrades DocuSign to sell, citing elevated risks amid CEO transition  https://t.co/1EmtywmYpr",0,piper sandler downgrades docusign to sell citing elevated risks amid ceo transition,83
"Analysts react to Tesla's latest earnings, break down what's next for electric car maker  https://t.co/kwhoE6W06u",0,analysts react to teslas latest earnings break down whats next for electric car maker,85
"Netflix and its peers are set for a ‘return to growth,’ analysts say, giving one stock 120% upside  https://t.co/jPpdl0D9s4",0,netflix and its peers are set for a return to growth analysts say giving one stock upside,89
Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE,0,barclays believes earnings for these underperforming stocks may surprise wall street,84
"Bernstein upgrades Alibaba, says shares can rally more than 20% from here  https://t.co/m3ApoPRGU0",0,bernstein upgrades alibaba says shares can rally more than from here,68
"Analysts react to Netflix's strong quarter, with some pointing to a potential bottom for the stock  https://t.co/cQngJsyefD",0,analysts react to netflixs strong quarter with some pointing to a potential bottom for the stock,96
"Buy Chevron as shares look attractive at these levels, HSBC says  https://t.co/GkDpFvxjEP",0,buy chevron as shares look attractive at these levels hsbc says,63
Morgan Stanley says these global stocks are set for earnings beats — and gives one over 45% upside  https://t.co/GeWxa5YoWr,0,morgan stanley says these global stocks are set for earnings beats and gives one over upside,92
Investing Club: Analysts dropped a bunch of new notes on energy stocks. Here's where we stand on ours  https://t.co/faKcXzyMGZ,0,investing club analysts dropped a bunch of new notes on energy stocks heres where we stand on ours,98
"CFRA downgrades Disney, says lack of cash dividend could hurt its streaming platform  https://t.co/KG5V0NDfK4",0,cfra downgrades disney says lack of cash dividend could hurt its streaming platform,83
Bank of America is more bullish than JPMorgan. Here's what that means for Wall Street and the economy  https://t.co/zHxjgjmwJv,0,bank of america is more bullish than jpmorgan heres what that means for wall street and the economy,99
"Here are Tuesday's biggest analyst calls: Meta, Chipotle, Apple, Tesla, Exxon, Netflix, Sunrun &amp; more  https://t.co/xgyzBGpBvc",0,here are tuesdays biggest analyst calls meta chipotle apple tesla exxon netflix sunrun amp more,95
"Citi cuts Microsoft price target, citing foreign exchange headwinds  https://t.co/ZsnMboYnGw",0,citi cuts microsoft price target citing foreign exchange headwinds,66
"Exchange operator Cboe is a buy as recession chances rise, Morgan Stanley says  https://t.co/Z51h67lv4O",0,exchange operator cboe is a buy as recession chances rise morgan stanley says,77
"Strong earnings may not be enough to bring Netflix out of its funk, Credit Suisse says  https://t.co/99YkU9j8X2",0,strong earnings may not be enough to bring netflix out of its funk credit suisse says,85
"Tesla's bitcoin holdings could result in a $460 million hit for the carmaker, Barclays says  https://t.co/J50bSXAsf6",0,teslas bitcoin holdings could result in a million hit for the carmaker barclays says,84
Morningstar strategist says two FAANG stocks look incredibly cheap right now  https://t.co/DKr5Q5o0ei,0,morningstar strategist says two faang stocks look incredibly cheap right now,76
